State,Code,Flag_URL
Alabama,AL,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Alabama.svg
Alaska,AK,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Alaska.svg
Arizona,AZ,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Arizona.svg
Arkansas,AR,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Arkansas.svg
California,CA,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_California.svg
Colorado,CO,https://upload.wikimedia.org/wikipedia/commons/4/46/Flag_of_Colorado.svg
Connecticut,CT,https://upload.wikimedia.org/wikipedia/commons/9/96/Flag_of_Connecticut.svg
Delaware,DE,https://upload.wikimedia.org/wikipedia/commons/c/c6/Flag_of_Delaware.svg
Florida,FL,https://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Florida.svg
Georgia,GA,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_the_State_of_Georgia.svg
Hawaii,HI,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Hawaii.svg
Idaho,ID,https://upload.wikimedia.org/wikipedia/commons/a/a4/Flag_of_Idaho.svg
Illinois,IL,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Illinois.svg
Indiana,IN,https://upload.wikimedia.org/wikipedia/commons/a/ac/Flag_of_Indiana.svg
Iowa,IA,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Iowa.svg
Kansas,KS,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Kansas.svg
Kentucky,KY,https://upload.wikimedia.org/wikipedia/commons/8/8d/Flag_of_Kentucky.svg
Louisiana,LA,https://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_Louisiana.svg
Maine,ME,https://upload.wikimedia.org/wikipedia/commons/d/df/Flag_of_the_State_of_Maine.svg
Maryland,MD,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Maryland.svg
Massachusetts,MA,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Massachusetts.svg
Michigan,MI,https://upload.wikimedia.org/wikipedia/commons/b/b5/Flag_of_Michigan.svg
Minnesota,MN,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Minnesota.svg
Mississippi,MS,https://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_Mississippi.svg
Missouri,MO,https://upload.wikimedia.org/wikipedia/commons/5/5a/Flag_of_Missouri.svg
Montana,MT,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_Montana.svg
Nebraska,NE,https://upload.wikimedia.org/wikipedia/commons/4/4d/Flag_of_Nebraska.svg
Nevada,NV,https://upload.wikimedia.org/wikipedia/commons/f/f1/Flag_of_Nevada.svg
New Hampshire,NH,https://upload.wikimedia.org/wikipedia/commons/2/28/Flag_of_New_Hampshire.svg
New Jersey,NJ,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_New_Jersey.svg
New Mexico,NM,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_New_Mexico.svg
New York,NY,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_New_York.svg
North Carolina,NC,https://upload.wikimedia.org/wikipedia/commons/b/bb/Flag_of_North_Carolina.svg
North Dakota,ND,https://upload.wikimedia.org/wikipedia/commons/e/ee/Flag_of_North_Dakota.svg
Ohio,OH,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Ohio.svg
Oklahoma,OK,https://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_Oklahoma.svg
Oregon,OR,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Oregon.svg
Pennsylvania,PA,https://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Pennsylvania.svg
Rhode Island,RI,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Rhode_Island.svg
South Carolina,SC,https://upload.wikimedia.org/wikipedia/commons/6/69/Flag_of_South_Carolina.svg
South Dakota,SD,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_South_Dakota.svg
Tennessee,TN,https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg
Texas,TX,https://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Texas.svg
Utah,UT,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Utah.svg
Vermont,VT,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Vermont.svg
Virginia,VA,https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Virginia.svg
Washington,WA,https://upload.wikimedia.org/wikipedia/commons/5/54/Flag_of_Washington.svg
West Virginia,WV,https://upload.wikimedia.org/wikipedia/commons/2/22/Flag_of_West_Virginia.svg
Wisconsin,WI,https://upload.wikimedia.org/wikipedia/commons/2/22/Flag_of_Wisconsin.svg
Wyoming,WY,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Wyoming.svg
District of Columbia,DC,https://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Washington%2C_D.C.svg
American Samoa,AS,https://upload.wikimedia.org/wikipedia/commons/8/87/Flag_of_American_Samoa.svg
Guam,GU,https://upload.wikimedia.org/wikipedia/commons/0/07/Flag_of_Guam.svg
Northern Mariana Islands,MP,https://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_the_Northern_Mariana_Islands.svg
Puerto Rico,PR,https://upload.wikimedia.org/wikipedia/commons/2/28/Flag_of_Puerto_Rico.svg
U.S. Virgin Islands,VI,https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_the_United_States_Virgin_Islands.svg
